segment_id,dominant_lithology,fault_distance_nearest_m,fault_distance_active_m,fault_intersection_count,fault_density_100m,epsg_32643_verified,status
NH44_SEG_134,Quartzite / Schist / Slate,38207.74,40707.74,0,0.0,True,PASS
NH44_SEG_135,Quartzite / Schist / Slate,38165.3,40665.3,0,0.0,True,PASS
NH44_SEG_136,Quartzite / Schist / Slate,38210.3,40710.3,0,0.0,True,PASS
NH44_SEG_137,Quartzite / Schist / Slate,38168.08,40668.08,0,0.0,True,PASS
NH44_SEG_138,Quartzite / Schist / Slate,38420.14,40920.14,0,0.0,True,PASS
NH44_SEG_139,Quartzite / Schist / Slate,38615.64,41115.64,0,0.0,True,PASS
NH44_SEG_140,Quartzite / Schist / Slate,38827.96,41327.96,0,0.0,True,PASS
NH44_SEG_141,Quartzite / Schist / Slate,38902.58,41402.58,0,0.0,True,PASS
NH44_SEG_142,Quartzite / Schist / Slate,38749.37,41249.37,0,0.0,True,PASS
NH44_SEG_143,Quartzite / Schist / Slate,38509.14,41009.14,0,0.0,True,PASS
NH44_SEG_144,Quartzite / Schist / Slate,38441.93,40941.93,0,0.0,True,PASS
NH44_SEG_145,Quartzite / Schist / Slate,38480.2,40980.2,0,0.0,True,PASS
NH44_SEG_146,Quartzite / Schist / Slate,38563.8,41063.8,0,0.0,True,PASS
NH44_SEG_147,Quartzite / Schist / Slate,38714.68,41214.68,0,0.0,True,PASS
NH44_SEG_148,Quartzite / Schist / Slate,39079.25,41579.25,0,0.0,True,PASS
NH44_SEG_149,Quartzite / Schist / Slate,39472.96,41972.96,0,0.0,True,PASS
NH44_SEG_150,Quartzite / Schist / Slate,39860.18,42360.18,0,0.0,True,PASS
NH44_SEG_151,Quartzite / Schist / Slate,40085.1,42585.1,0,0.0,True,PASS
NH44_SEG_152,Quartzite / Schist / Slate,40486.06,42986.06,0,0.0,True,PASS
NH44_SEG_153,Quartzite / Schist / Slate,40709.3,43209.3,0,0.0,True,PASS
NH44_SEG_154,Quartzite / Schist / Slate,40690.92,43190.92,0,0.0,True,PASS
NH44_SEG_155,Quartzite / Schist / Slate,40695.56,43195.56,0,0.0,True,PASS
NH44_SEG_156,Quartzite / Schist / Slate,41061.2,43561.2,0,0.0,True,PASS
NH44_SEG_157,Quartzite / Schist / Slate,41343.37,43843.37,0,0.0,True,PASS
NH44_SEG_158,Quartzite / Schist / Slate,41452.45,43952.45,0,0.0,True,PASS
