segment_id,sequence_number,start_chainage_m,end_chainage_m,nominal_length_m,actual_geometry_length_m,start_longitude,start_latitude,end_longitude,end_latitude,midpoint_longitude,midpoint_latitude,vertex_count,source_route_sha256,terminal_segment
NH44_SEG_065,65,32000.0,32500.0,500.0,500.0,75.298095,33.196144,75.294789,33.199588,75.296317,33.197778,14,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_066,66,32500.0,33000.0,500.0,500.0,75.294789,33.199588,75.291257,33.20277,75.293423,33.201479,13,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_067,67,33000.0,33500.0,500.0,500.0,75.291257,33.20277,75.286581,33.204788,75.289055,33.203922,12,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_068,68,33500.0,34000.0,500.0,500.0,75.286581,33.204788,75.281607,33.206212,75.284026,33.205364,18,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_069,69,34000.0,34500.0,500.0,500.0,75.281607,33.206212,75.277461,33.208854,75.279299,33.207261,19,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_070,70,34500.0,35000.0,500.0,500.0,75.277461,33.208854,75.273471,33.211759,75.27538,33.210224,16,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_071,71,35000.0,35500.0,500.0,500.0,75.273471,33.211759,75.272779,33.21518,75.272775,33.21348,17,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_072,72,35500.0,36000.0,500.0,500.0,75.272779,33.21518,75.270725,33.218853,75.272475,33.217418,17,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_073,73,36000.0,36500.0,500.0,500.0,75.270725,33.218853,75.268028,33.222603,75.26958,33.22077,17,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_074,74,36500.0,37000.0,500.0,500.0,75.268028,33.222603,75.264084,33.224487,75.266527,33.224456,19,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_075,75,37000.0,37500.0,500.0,500.0,75.264084,33.224487,75.258793,33.224966,75.261437,33.224756,18,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_076,76,37500.0,38000.0,500.0,500.0,75.258793,33.224966,75.25444,33.227556,75.256539,33.226162,15,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_077,77,38000.0,38500.0,500.0,500.0,75.25444,33.227556,75.251011,33.230974,75.252567,33.229164,14,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_078,78,38500.0,39000.0,500.0,500.0,75.251011,33.230974,75.247332,33.234228,75.249029,33.232486,13,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_079,79,39000.0,39500.0,500.0,500.0,75.247332,33.234228,75.242614,33.236056,75.2452,33.235571,8,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_080,80,39500.0,40000.0,500.0,500.0,75.242614,33.236056,75.238978,33.238912,75.240308,33.236959,12,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_081,81,40000.0,40500.0,500.0,500.0,75.238978,33.238912,75.234521,33.241156,75.237062,33.240438,10,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_082,82,40500.0,41000.0,500.0,500.0,75.234521,33.241156,75.229594,33.241907,75.232141,33.242139,11,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_083,83,41000.0,41500.0,500.0,500.0,75.229594,33.241907,75.225808,33.243967,75.227511,33.242312,11,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_084,84,41500.0,42000.0,500.0,500.0,75.225808,33.243967,75.220752,33.244884,75.223415,33.244981,9,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_085,85,42000.0,42500.0,500.0,500.0,75.220752,33.244884,75.216229,33.24693,75.218511,33.245778,24,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_086,86,42500.0,43000.0,500.0,500.0,75.216229,33.24693,75.211922,33.249505,75.213889,33.247992,8,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_087,87,43000.0,43500.0,500.0,500.0,75.211922,33.249505,75.208202,33.252675,75.209978,33.251041,11,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_088,88,43500.0,44000.0,500.0,500.0,75.208202,33.252675,75.205844,33.25645,75.206387,33.254243,15,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_089,89,44000.0,44500.0,500.0,500.0,75.205844,33.25645,75.201324,33.25623,75.203747,33.256666,31,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_090,90,44500.0,45000.0,500.0,500.0,75.201324,33.25623,75.197537,33.258978,75.199364,33.257422,16,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_091,91,45000.0,45500.0,500.0,500.0,75.197537,33.258978,75.193205,33.258624,75.195262,33.258187,25,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_092,92,45500.0,46000.0,500.0,500.0,75.193205,33.258624,75.191546,33.262582,75.191715,33.260405,17,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_093,93,46000.0,46500.0,500.0,500.0,75.191546,33.262582,75.186934,33.264208,75.189093,33.263169,15,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_094,94,46500.0,47000.0,500.0,500.0,75.186934,33.264208,75.18272,33.266305,75.184709,33.265329,27,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_095,95,47000.0,47500.0,500.0,500.0,75.18272,33.266305,75.180309,33.267657,75.182653,33.268399,36,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_096,96,47500.0,48000.0,500.0,500.0,75.180309,33.267657,75.175608,33.268715,75.177979,33.268503,24,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_097,97,48000.0,48500.0,500.0,500.0,75.175608,33.268715,75.176406,33.27199,75.175145,33.270506,21,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_098,98,48500.0,49000.0,500.0,500.0,75.176406,33.27199,75.176871,33.27597,75.176452,33.274019,23,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
