source_file,original_feature_id,osm_way_id,geometry_sha256,coordinate_count,edge_length_m,start_coordinate,end_coordinate,road_classification,source_provenance_status
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_68,OSM_WAY_131110029,938092b5497a070fa5e115b9cc5701959f37bd85acbe8eba97fe5b6c3a255fbb,8,0.001,"(75.203601, 33.426574)","(75.204674, 33.425826)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_69,OSM_WAY_131110030,272a4921be7637d547261130d65b67d07f5b41f9ba761f351e0d42b8695ce5c6,12,0.007,"(75.197853, 33.430907)","(75.203601, 33.426574)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_70,OSM_WAY_131110031,25054c1bce21613cf4e56a5e4fd1aea6c5aa3d34ae55d0a372a431e8293f720f,7,0.005,"(75.197761, 33.430872)","(75.194647, 33.434330)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_71,OSM_WAY_131110032,94e8965311c09c6d19ef88878338a4e2f0955779249b38adf8ac17486739322c,19,0.007,"(75.194647, 33.434330)","(75.191313, 33.440072)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_72,OSM_WAY_131110033,3d80635c3d980b55057ac0c9dae179a46f8ab0361d69557f49a8d7b260933718,4,0.001,"(75.191313, 33.440072)","(75.190698, 33.440592)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_73,OSM_WAY_131110034,25803537809360672233df333fe2ac4ac2d1acd194a670992cb0ce901b58b65a,7,0.001,"(75.190269, 33.441655)","(75.190755, 33.440674)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_74,OSM_WAY_131110035,b24abb26322d2d0cdb80df7d035464459772393ac527b9a79808af74f4d25f4d,7,0.003,"(75.190175, 33.441596)","(75.189111, 33.444340)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_75,OSM_WAY_131110036,606aeb3a3d288b108b35f5b46b471137a3e06316f4150715281c96b75ab6828f,5,0.0,"(75.189111, 33.444340)","(75.188974, 33.444815)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_76,OSM_WAY_131110037,60ba1873e4433c3f167bb508a51409c46229d2900b91926c266d121606b897ae,12,0.004,"(75.190000, 33.448485)","(75.189135, 33.445047)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_77,OSM_WAY_131110038,d8413092fb32b94bd45057660c9ce738f1c0241077ed48892fcdaa2b90bb2890,20,0.007,"(75.191635, 33.455250)","(75.190131, 33.448815)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_78,OSM_WAY_131110039,650547db5529fff742a3d98132b4fd5b336828ec15615ee5a60abfc003b6d7e7,8,0.001,"(75.191538, 33.455205)","(75.191080, 33.455781)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_79,OSM_WAY_131110040,d1409b2ba67a2363875574da262dcc79ecd7a9277e7966b27bb831aa53df529b,2,0.003,"(75.189140, 33.457775)","(75.191134, 33.455876)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_80,OSM_WAY_131110041,20e3b1ec1ac774efc3f14b09068092bb45d2c768b0cddfc2b7078650c2f257d9,83,0.026,"(75.184179, 33.481657)","(75.189140, 33.457775)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_81,OSM_WAY_131110042,8f2bcd3ea064c67a67129fe0d6945568b30b72b162236103e7aea5a8fa1b8fd2,26,0.011,"(75.172961, 33.488363)","(75.181579, 33.483805)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
