segment_id,weight_median_rank,rank_p5,rank_p25,rank_p75,rank_p95,rank_interval_width_90,probability_top_10_pct,probability_top_20_pct
NH44_SEG_128,149.0,149.0,149.0,149.0,149.0,0.0,0.0,0.0
NH44_SEG_129,145.0,145.0,145.0,145.0,145.0,0.0,0.0,0.0
NH44_SEG_130,141.0,141.0,141.0,141.0,141.0,0.0,0.0,0.0
NH44_SEG_131,139.0,139.0,139.0,139.0,139.0,0.0,0.0,0.0
NH44_SEG_132,133.0,133.0,133.0,133.0,133.0,0.0,0.0,0.0
NH44_SEG_133,129.0,129.0,129.0,129.0,129.0,0.0,0.0,0.0
NH44_SEG_134,122.0,122.0,122.0,122.0,122.0,0.0,0.0,0.0
NH44_SEG_135,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0
NH44_SEG_136,123.0,123.0,123.0,123.0,123.0,0.0,0.0,0.0
NH44_SEG_137,121.0,121.0,121.0,121.0,121.0,0.0,0.0,0.0
NH44_SEG_138,125.0,125.0,125.0,125.0,125.0,0.0,0.0,0.0
NH44_SEG_139,131.0,131.0,131.0,131.0,131.0,0.0,0.0,0.0
NH44_SEG_140,136.0,136.0,136.0,136.0,136.0,0.0,0.0,0.0
NH44_SEG_141,137.0,137.0,137.0,137.0,137.0,0.0,0.0,0.0
NH44_SEG_142,135.0,135.0,135.0,135.0,135.0,0.0,0.0,0.0
NH44_SEG_143,128.0,128.0,128.0,128.0,128.0,0.0,0.0,0.0
NH44_SEG_144,126.0,126.0,126.0,126.0,126.0,0.0,0.0,0.0
NH44_SEG_145,127.0,127.0,127.0,127.0,127.0,0.0,0.0,0.0
NH44_SEG_146,130.0,130.0,130.0,130.0,130.0,0.0,0.0,0.0
NH44_SEG_147,134.0,134.0,134.0,134.0,134.0,0.0,0.0,0.0
NH44_SEG_148,140.0,140.0,140.0,140.0,140.0,0.0,0.0,0.0
NH44_SEG_149,143.0,143.0,143.0,143.0,143.0,0.0,0.0,0.0
NH44_SEG_150,146.0,146.0,146.0,146.0,146.0,0.0,0.0,0.0
NH44_SEG_151,150.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0
NH44_SEG_152,152.0,152.0,152.0,152.0,152.0,0.0,0.0,0.0
NH44_SEG_153,155.0,155.0,155.0,155.0,155.0,0.0,0.0,0.0
NH44_SEG_154,153.0,153.0,153.0,153.0,153.0,0.0,0.0,0.0
NH44_SEG_155,154.0,154.0,154.0,154.0,154.0,0.0,0.0,0.0
NH44_SEG_156,156.0,156.0,156.0,156.0,156.0,0.0,0.0,0.0
NH44_SEG_157,157.0,157.0,157.0,157.0,157.0,0.0,0.0,0.0
NH44_SEG_158,158.0,158.0,158.0,158.0,158.0,0.0,0.0,0.0
